"","OTU00","OTU01","OTU02","OTU03","OTU04","OTU05","OTU06","OTU07","OTU08","OTU09","OTU10","OTU11","OTU12","OTU13","OTU14","OTU15","OTU16","OTU17","OTU18","OTU19","OTU20","OTU21","OTU22","OTU23","OTU24","OTU25","OTU26","OTU27","OTU28","OTU29","OTU30","OTU31","OTU32","OTU33","OTU34","OTU35","OTU36","OTU37","OTU38","OTU39"
"OTU10",0,0,0,0,0,0,0,0,0,0,1,0.839258,0,0.801597,0,0.705678,0.88059,0.740318,0.738078,0.811539,0,0,-0.846979,0,0,0,0,0,0,0,0,0,-0.83896,0,0,0,0,0,0,0
"OTU11",-0.795575,0,0,0,0,0,0,0,0,0,0.839258,1,0.775378,0.790453,0.729501,0,0,0.766467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU12",0,0,0,0,0,0,0,0,0,0,0,0.775378,1,0,0.76806,0.925651,0.750591,0.844805,0.914154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU13",0,0,0,0,0,0,0,0,0,0,0.801597,0.790453,0,1,0,0.856827,0.862462,0.803952,0.823498,0.736131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU14",0,-0.746514,0,0,0,0,0,0,0,0,0,0.729501,0.76806,0,1,0.846911,0.93128,0.786717,0.705701,0,0,0,0,0,0,0,-0.860878,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU15",0,0,0,0,0,0,0,0,0,0,0.705678,0,0.925651,0.856827,0.846911,1,0.895684,0.821665,0.934457,0.818372,0,0,0,0,0,-0.826584,0,0,0,0,0,0,0,0,0,0,0,0,-0.726421,0
"OTU16",0,0,0,0,0,0,-0.753293,0,0,0,0.88059,0,0.750591,0.862462,0.93128,0.895684,1,0.782892,0.809728,0.906573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU17",0,0,0,0,0,0,0,0,0,0,0.740318,0.766467,0.844805,0.803952,0.786717,0.821665,0.782892,1,0,0.838509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU18",0,0,0,0,0,0,0,0,0,0,0.738078,0,0.914154,0.823498,0.705701,0.934457,0.809728,0,1,0.86806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU19",0,0,0,0,0,0,0,0,0,0,0.811539,0,0,0.736131,0,0.818372,0.906573,0.838509,0.86806,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.719019,0,0,0
"OTU20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.864856,0,0,0.929003,0.709353,0.792731,0,0,0.938225,0,0,0,0,0,0,0,0,0,0
"OTU21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.864856,1,0.828764,0.934011,0.711228,0.948094,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU22",0,0,0,0,0,0,0,0,0,0,-0.846979,0,0,0,0,0,0,0,0,0,0,0.828764,1,0.778982,0,0.793414,0.886697,0.934203,0.730689,0,0,0,0,0,0,0,0,0,0,0
"OTU23",0,0,0,-0.773278,0,0,0,-0.775893,0,0,0,0,0,0,0,0,0,0,0,0,0,0.934011,0.778982,1,0.744817,0.918641,0.777581,0,0,0.735974,0,0,0,0,0,0,0,0,0,0
"OTU24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.929003,0.711228,0,0.744817,1,0.757414,0.869415,0.826582,0.845279,0.901031,0,0,0,0,0,0,0,0,0,0
"OTU25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.826584,0,0,0,0,0.709353,0.948094,0.793414,0.918641,0.757414,1,0,0,0.730938,0,0,0,0,0,0,0,0,0,0,-0.727482
"OTU26",0,-0.759375,0,0,0,0,0,0,0,0,0,0,0,0,-0.860878,0,0,0,0,0,0.792731,0,0.886697,0.777581,0.869415,0,1,0.775237,0.865716,0,0,0,0,0,0,0,0,-0.716899,0,0
"OTU27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.934203,0,0.826582,0,0.775237,1,0.931202,0.8388,0,0,0,0,0,0,0,0,0,0
"OTU28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.730689,0,0.845279,0.730938,0.865716,0.931202,1,0.726474,0,0,0,0,0,0,0,0,0,0
"OTU29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.938225,0,0,0.735974,0.901031,0,0,0.8388,0.726474,1,0,0,0,0,0,0,0,0,0,-0.860177
"OTU30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.804779,0,0.933256,0,0.896191,0.727286,0,0,0.832692
"OTU31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.804779,1,0.916935,0.803143,0.806471,0.916873,0.76196,0.886504,0,0.71664
"OTU32",0,0,0,0,0,0,0,0,0,0,-0.83896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.916935,1,0.736543,0,0.735968,0,0.77118,0.728873,0.713849
"OTU33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.933256,0.803143,0.736543,1,0.713345,0.870179,0.779498,0.918751,0,0.745375
"OTU34",0,0,0,0,0,0,0,0,-0.765672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.806471,0,0.713345,1,0.762347,0.804066,0.793404,0.725418,0
"OTU35",0,0,0,0,-0.869712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.896191,0.916873,0.735968,0.870179,0.762347,1,0.93121,0.910894,0,0
"OTU36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.719019,0,0,0,0,0,0,0,0,0,0,0.727286,0.76196,0,0.779498,0.804066,0.93121,1,0,0,0.894749
"OTU37",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.716899,0,0,0,0,0.886504,0.77118,0.918751,0.793404,0.910894,0,1,0.834017,0.914393
"OTU38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.726421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.728873,0,0.725418,0,0,0.834017,1,0.796272
"OTU39",0,0,0,0,0,0,0,-0.88327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.727482,0,0,0,-0.860177,0.832692,0.71664,0.713849,0.745375,0,0,0.894749,0.914393,0.796272,1
